order_item_id,order_id,product_id,quantity,unit_price,line_total
1,2808,200,1,41731.23,41731.23
2,6905,269,3,22906.5,68719.5
3,6936,72,1,38766.17,38766.17
4,7903,108,5,42701.94,213509.7
5,8209,222,3,24752.26,74256.78
6,3802,59,3,17582.25,52746.75
7,8955,242,3,56080.34,168241.02
8,6097,55,1,29530.16,29530.16
9,3504,160,3,3706.59,11119.77
10,2083,225,3,48013.68,144041.04
11,3125,91,1,5445.29,5445.29
12,2118,115,5,50074.55,250372.75
13,199,116,3,34133.09,102399.27
14,7741,49,1,25641.62,25641.62
15,5103,80,2,34745.44,69490.88
16,3875,258,5,37919.4,189597.0
17,6593,35,1,14955.6,14955.6
18,4367,121,1,27330.49,27330.49
19,310,41,3,26159.39,78478.17
20,1139,86,3,39790.59,119371.77
21,8649,69,1,42541.0,42541.0
22,8628,195,1,48432.64,48432.64
23,6281,37,2,49593.1,99186.2
24,4107,116,2,34133.09,68266.18
25,4335,19,3,10903.32,32709.96
26,1185,11,4,42790.14,171160.56
27,1895,295,1,53762.08,53762.08
28,2905,200,2,41731.23,83462.46
29,266,107,2,7269.77,14539.54
30,5246,79,3,37354.41,112063.23
31,4423,203,4,39717.64,158870.56
32,1456,296,4,8967.41,35869.64
33,2153,249,3,17639.04,52917.12
34,3356,106,2,32441.89,64883.78
35,1224,257,2,15383.71,30767.42
36,1144,48,5,22969.7,114848.5
37,4616,256,4,10362.09,41448.36
38,5745,266,5,20581.96,102909.8
39,1877,54,4,35431.72,141726.88
40,291,13,1,10970.08,10970.08
41,2129,30,1,35179.48,35179.48
42,7006,274,4,24087.35,96349.4
43,1662,184,1,29620.2,29620.2
44,163,88,5,45819.2,229096.0
45,8260,112,4,1277.1,5108.4
46,6107,293,5,9827.68,49138.4
47,1793,267,2,44042.64,88085.28
48,5886,100,5,38514.93,192574.65
49,4094,23,2,6354.17,12708.34
50,2910,246,1,45837.56,45837.56
51,6274,2,3,1877.68,5633.04
52,5294,91,5,5445.29,27226.45
53,2840,233,2,23869.09,47738.18
54,8154,17,2,37431.18,74862.36
55,1377,267,3,44042.64,132127.92
56,4265,214,1,37588.43,37588.43
57,2494,71,1,24990.33,24990.33
58,4063,209,2,40501.29,81002.58
59,1297,181,2,38918.0,77836.0
60,8151,115,2,50074.55,100149.1
61,8729,240,2,20940.67,41881.34
62,118,152,5,50000.33,250001.65
63,8102,282,5,34387.39,171936.95
64,8026,68,3,46612.18,139836.54
65,8957,223,2,33348.07,66696.14
66,4950,295,3,53762.08,161286.24
67,7847,233,2,23869.09,47738.18
68,4194,263,2,755.45,1510.9
69,4449,241,3,20277.26,60831.78
70,6401,221,4,22217.38,88869.52
71,3498,118,5,4468.27,22341.35
72,2432,183,2,5615.28,11230.56
73,6775,234,1,45121.33,45121.33
74,6192,44,4,61503.72,246014.88
75,3065,90,5,8058.36,40291.8
76,6979,125,5,7386.64,36933.2
77,917,228,3,38763.43,116290.29
78,6841,10,3,35044.37,105133.11
79,2049,86,5,39790.59,198952.95
80,3653,141,5,11295.4,56477.0
81,4120,256,5,10362.09,51810.45
82,7786,68,4,46612.18,186448.72
83,1767,81,1,11917.65,11917.65
84,5387,1,5,31120.3,155601.5
85,6252,120,4,42741.05,170964.2
86,5466,20,4,37320.91,149283.64
87,1777,261,3,1687.23,5061.69
88,6679,260,2,19576.52,39153.04
89,143,235,2,5741.54,11483.08
90,1087,240,5,20940.67,104703.35
91,7826,297,5,6080.72,30403.6
92,1116,215,1,39321.82,39321.82
93,4556,273,3,41092.27,123276.81
94,8743,41,5,26159.39,130796.95
95,8484,58,4,34093.87,136375.48
96,4281,24,1,2956.74,2956.74
97,2430,182,2,5023.35,10046.7
98,5984,4,3,10147.08,30441.24
99,3126,286,3,17563.23,52689.69
100,505,153,4,20485.98,81943.92
101,6917,209,3,40501.29,121503.87
102,4550,100,2,38514.93,77029.86
103,8535,146,1,44061.28,44061.28
104,4115,260,3,19576.52,58729.56
105,6371,116,1,34133.09,34133.09
106,2184,106,2,32441.89,64883.78
107,6406,43,1,37918.14,37918.14
108,6238,103,4,30679.89,122719.56
109,5226,299,4,12751.23,51004.92
110,2232,241,2,20277.26,40554.52
111,2335,14,4,34182.93,136731.72
112,1160,254,3,8156.82,24470.46
113,4971,79,5,37354.41,186772.05
114,1928,10,4,35044.37,140177.48
115,7672,115,1,50074.55,50074.55
116,292,257,3,15383.71,46151.13
117,2487,28,4,3118.64,12474.56
118,7488,69,2,42541.0,85082.0
119,2953,204,5,44300.99,221504.95
120,2427,156,2,332.99,665.98
121,1620,198,1,37882.84,37882.84
122,6020,255,1,45714.89,45714.89
123,8068,178,3,21463.95,64391.85
124,3329,233,5,23869.09,119345.45
125,2246,177,4,5095.85,20383.4
126,3504,112,1,1277.1,1277.1
127,3525,11,1,42790.14,42790.14
128,3881,211,1,17304.89,17304.89
