order_id,customer_id,order_status,payment_method,order_total,item_count
1,4087,In Transit,Net Banking,31448.77,2.0
2,4807,Delivered,Upi,93335.17,2.0
3,1488,Canceled,Upi,80381.01,2.0
4,1470,Delivered,Cash On Delivery,184626.21,1.0
5,1516,Delivered,Upi,,
6,1520,In Transit,Cash On Delivery,45460.16,1.0
7,378,In Transit,Cash On Delivery,279627.9,3.0
8,4107,Canceled,Net Banking,334008.85,4.0
9,2157,Canceled,Loyalty Points,,
10,1548,Delivered,Loyalty Points,39929.9,2.0
11,2710,Canceled,Cash On Delivery,78857.04,2.0
12,2591,Delivered,Upi,176748.99,2.0
13,1272,In Transit,Loyalty Points,91259.45,1.0
14,1538,Canceled,Net Banking,227926.12,1.0
15,999,Delivered,Cash On Delivery,227653.56,2.0
16,3315,Canceled,Net Banking,247074.74,3.0
17,2207,In Transit,Loyalty Points,154236.41,2.0
18,4430,Canceled,Loyalty Points,,
19,3296,Canceled,Loyalty Points,265846.76,2.0
20,3933,Delivered,Net Banking,,
21,2619,Canceled,Upi,17224.62,1.0
22,4137,In Transit,Loyalty Points,75765.68,1.0
23,4356,Canceled,Loyalty Points,230483.15,2.0
24,3742,In Transit,Loyalty Points,553899.05,4.0
25,4104,Canceled,Loyalty Points,66903.69,1.0
26,372,In Transit,Upi,116179.05,2.0
27,4519,Canceled,Net Banking,185277.08,1.0
28,2595,Delivered,Loyalty Points,,
29,2796,Canceled,Loyalty Points,80867.45,1.0
30,1531,In Transit,Net Banking,113648.52,1.0
31,1644,Delivered,Upi,40554.52,1.0
32,269,Canceled,Upi,22341.3,1.0
33,1342,Canceled,Net Banking,211799.48,1.0
34,4046,In Transit,Loyalty Points,144943.0,3.0
35,4780,In Transit,Cash On Delivery,152905.08,1.0
36,44,In Transit,Upi,189139.97,3.0
37,421,Delivered,Upi,,
38,1687,Delivered,Upi,182341.22,2.0
39,3419,Canceled,Upi,408175.28,2.0
40,147,Delivered,Cash On Delivery,63466.72,1.0
41,164,Canceled,Loyalty Points,332.99,1.0
42,4262,Canceled,Net Banking,69538.82,3.0
43,200,In Transit,Cash On Delivery,79787.8,1.0
44,4740,Delivered,Cash On Delivery,307151.01,4.0
45,3942,In Transit,Net Banking,316904.52,2.0
46,2614,Canceled,Loyalty Points,158666.8,1.0
47,3641,Delivered,Cash On Delivery,,
48,3946,Delivered,Cash On Delivery,99961.32,1.0
49,4097,In Transit,Net Banking,119252.8,1.0
50,4977,Delivered,Loyalty Points,29212.65,1.0
51,3740,Delivered,Upi,209042.8,1.0
52,2241,Canceled,Net Banking,283297.03,3.0
53,2303,Canceled,Net Banking,389968.11,3.0
54,2870,Canceled,Net Banking,,
55,4546,Delivered,Net Banking,232056.99,3.0
56,452,In Transit,Net Banking,81741.06,1.0
57,2460,Canceled,Cash On Delivery,82937.71,3.0
